"Product ID","OGE021BFE1"
"Comment",""
"Group ID","OGE021BFE100001A"
"Cassette ID","F5SB33"
"Glass ID","T504NA79BG"
"Sheet Name","0955"
"Operation ID","5220"
"Pattern Name","E021"
"Glass Size(mm) X:","1100"
"Glass Size(mm) Y:","1300"
"Start Time","5/28/2020 1:49:36 PM"
"Finish Time","5/28/2020 1:51:09 PM"
""
"Standard Upper:","1.000E+3"
"Standard Lower:","1.000E+0"
"Warning Upper:","1.000E+3"
"Warning Lower:","1.000E+0"
"No.","Point","X","Y","Curr","Volt","Pos","Neg","Rs","Dev","Judge"
"1","1","-531.2","640.0","1mA","30mV","3.516E+1","3.517E+1","3.517E+1","2.600E-2","OK"
"2","2","110.0","640.0","1mA","30mV","3.358E+1","3.358E+1","3.358E+1","0.000E+0","OK"
"3","3","529.5","640.0","1mA","30mV","3.457E+1","3.458E+1","3.458E+1","3.800E-2","OK"
"4","4","-531.2","320.0","1mA","30mV","3.266E+1","3.267E+1","3.266E+1","1.500E-2","OK"
"5","5","110.0","320.0","1mA","30mV","3.043E+1","3.045E+1","3.044E+1","4.600E-2","OK"
"6","6","529.5","320.0","1mA","30mV","3.225E+1","3.226E+1","3.226E+1","2.800E-2","OK"
"7","7","-531.2","-320.0","1mA","30mV","3.227E+1","3.227E+1","3.227E+1","1.200E-2","OK"
"8","8","110.0","-320.0","1mA","30mV","3.021E+1","3.021E+1","3.021E+1","1.300E-2","OK"
"9","9","529.5","-320.0","1mA","30mV","3.183E+1","3.184E+1","3.183E+1","2.800E-2","OK"
"10","10","-531.2","-633.0","1mA","30mV","3.272E+1","3.273E+1","3.272E+1","4.000E-2","OK"
"11","11","110.0","-633.0","1mA","30mV","3.094E+1","3.094E+1","3.094E+1","1.600E-2","OK"
"12","12","529.5","-638.0","1mA","30mV","3.297E+1","3.298E+1","3.298E+1","1.500E-2","OK"
""
"Average","3.247E+1"
"Max","3.517E+1"
"Min","3.021E+1"
"Range","4.960E+0"
"Deviation","1.455E+0"
"CV","4.480%"
"Uni.","7.586%"
"Judgment","OK"
