"Product ID","OGF670XFS1"
"Comment",""
"Group ID","OGF670XFS100001A"
"Cassette ID","F5S477"
"Glass ID","T5055B86AG"
"Sheet Name","2325"
"Operation ID","5220"
"Pattern Name","F670"
"Glass Size(mm) X:","1100"
"Glass Size(mm) Y:","1300"
"Start Time","5/28/2020 2:31:02 PM"
"Finish Time","5/28/2020 2:32:35 PM"
""
"Standard Upper:","1.000E+3"
"Standard Lower:","1.000E+0"
"Warning Upper:","1.000E+3"
"Warning Lower:","1.000E+0"
"No.","Point","X","Y","Curr","Volt","Pos","Neg","Rs","Dev","Judge"
"1","1","-535.0","633.0","100uA","30mV","3.402E+2","3.403E+2","3.402E+2","2.600E-2","OK"
"2","2","-2.6","633.0","100uA","30mV","3.129E+2","3.129E+2","3.129E+2","0.000E+0","OK"
"3","3","535.0","633.0","100uA","30mV","3.366E+2","3.366E+2","3.366E+2","0.000E+0","OK"
"4","4","-535.0","209.0","100uA","30mV","2.844E+2","2.845E+2","2.844E+2","1.400E-2","OK"
"5","5","-2.6","209.0","100uA","30mV","2.412E+2","2.412E+2","2.412E+2","0.000E+0","OK"
"6","6","535.0","209.0","100uA","30mV","2.802E+2","2.802E+2","2.802E+2","1.400E-2","OK"
"7","7","-535.0","-224.0","100uA","30mV","2.956E+2","2.957E+2","2.956E+2","3.000E-2","OK"
"8","8","-2.6","-224.0","100uA","30mV","2.436E+2","2.436E+2","2.436E+2","2.100E-2","OK"
"9","9","535.0","-224.0","100uA","30mV","2.897E+2","2.897E+2","2.897E+2","1.400E-2","OK"
"10","10","-535.0","-635.0","100uA","30mV","3.245E+2","3.246E+2","3.245E+2","2.800E-2","OK"
"11","11","-2.6","-635.0","100uA","30mV","2.825E+2","2.825E+2","2.825E+2","0.000E+0","OK"
"12","12","535.0","-635.0","100uA","30mV","3.145E+2","3.145E+2","3.145E+2","0.000E+0","OK"
""
"Average","2.955E+2"
"Max","3.402E+2"
"Min","2.412E+2"
"Range","9.900E+1"
"Deviation","3.081E+1"
"CV","10.428%"
"Uni.","17.028%"
"Judgment","OK"
